"","n_original","n_replication","p_reorder","progress","rep","id","logl","unrestricted.logl","baseline.logl","nvar","nobs","npar","df","objective","chisq","pvalue","baseline.chisq","baseline.npar","baseline.df","baseline.pvalue","nfi","pnfi","tli","nnfi","rfi","ifi","rni","cfi","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.pvalue","aic.ll","aic.ll2","aic.x","aic.x2","bic","bic2","ebic.25","ebic.5","ebic.75","ebic1","sensitivity","specificity","correlation","bias","true_pos","false_pos","true_neg","false_neg","type","error","errorMessage"
"22",907,500,0.1,FALSE,36,22,-24312.9255926676,-23778.1076790794,-28791.4078390064,41,902,427,475,21.8987426478873,1069.63582717652,8.2802900939631e-48,10026.600319854,82,820,0,0.893320188991826,0.517472060696485,0.88850072971802,0.88850072971802,0.815836957838521,0.937744900617281,0.935412008068365,0.935412008068365,0.0500372840853496,0.0460472108724514,0.0540340817933475,0.48761528367565,49479.8511853352,54556.4067408908,119.63582717652,1923.63582717652,51279.4888433615,49924.164450885,52865.1841158443,54450.879388327,55719.4356063132,57622.2699332925,0.272727272727273,0.944444444444444,0.370893817885233,0.0286090760178412,6,1,17,16,"semi",FALSE,""
"23",907,200,0,FALSE,72,23,-9462.39821310721,-9186.29510411732,-11473.3335337227,41,902,420,482,19.271022408289,552.206217979783,0.0145877761811935,4574.07685921068,82,820,0,0.87927482747304,0.516842032734153,0.968184464869192,0.968184464869192,0.794616926406417,0.982843377484037,0.981298673252379,0.981298673252379,0.0269866683660622,0.0129999731487443,0.0370613438107483,0.999986881220201,19764.7964262144,18164.6154307393,-411.793782020217,1392.20621797978,21150.0897201646,19819.4862503768,22709.7899881804,24269.4902561962,25517.2504706089,27388.8907922278,0.0909090909090909,0.944444444444444,0.560460685166956,0.0269168848792013,2,1,17,20,"semi",FALSE,""
"24",907,300,0.3,FALSE,56,24,-14587.6953246203,-14029.8675746467,-17429.5917712874,41,902,429,473,21.8983424413518,1115.6554999471,7.30709340054632e-54,6799.44839328146,82,820,0,0.835919704744068,0.482182951638956,0.813675562706757,0.813675562706757,0.715547902516143,0.89841764920906,0.892522611171093,0.892522611171093,0.0672973427881832,0.0621977439321395,0.0724132834922365,3.11238211869735e-08,30033.3906492405,27195.3906492405,169.655499947097,1973.6554999471,31622.313330868,30261.7787464751,33215.4357474842,34808.5581641003,36083.0560973932,37994.8029973326,0.318181818181818,0.944444444444444,0.591917302401406,0.0324264283332987,7,1,17,15,"semi",FALSE,""
"25",907,100,0.1,FALSE,46,25,-4604.54579639955,-4220.69279886573,-5671.83351598428,41,902,409,493,16.7379562052078,767.705995067636,2.58516646597665e-14,2902.28143423709,82,820,6.12323849101873e-230,0.735481891586631,0.44218606408806,0.78057018167004,0.78057018167004,0.560030732456466,0.885980113753451,0.868074511662597,0.868074511662597,0.0746466993067762,0.0642557545655858,0.0847152025988517,0.000115429113240029,10027.0915927991,8945.22062505716,-218.294004932364,1585.70599506764,11092.6061988682,9800.88145682005,12611.4571741503,14130.3081494324,15345.388929658,17168.0100999965,0.227272727272727,0.944444444444444,0.149668453216266,0.0514715642796272,5,1,17,17,"semi",FALSE,""
"26",907,500,0.2,FALSE,77,26,-24537.3023880516,-23849.7969881272,-28948.7429476421,41,902,438,464,22.7962498294231,1375.01079984873,5.68772183533098e-91,10197.8919190297,82,820,0,0.865167153097308,0.489557998825794,0.828322186223504,0.828322186223504,0.761717813663347,0.906408371140046,0.902855480985007,0.902855480985007,0.0626639504739619,0.058853637174219,0.0665035920545226,4.04160992450997e-08,49950.6047761031,56254.9326449556,447.010799848729,2251.01079984873,51796.6031232121,50406.3640508357,53423.1476884285,55049.692253645,56350.9279058182,58302.781384078,0.181818181818182,0.944444444444444,0.392173513803883,0.0287492684150229,4,1,17,18,"semi",FALSE,""
"27",907,200,0.3,FALSE,64,27,-9612.54410038335,-9155.43499850769,-11584.5747838165,41,902,422,480,20.7724812810503,914.218203751316,2.06462165806104e-29,4858.27957061764,82,820,0,0.811822644114511,0.475213255091421,0.816310530651288,0.816310530651288,0.67853035036229,0.900824468436112,0.892474456966608,0.892474456966608,0.0672540429199331,0.0606115509238537,0.0738502378161714,1.84575854905722e-05,20069.0882007667,18468.137528121,-45.7817962486843,1758.21820375132,21460.97812945,20124.0384526632,23028.1055415992,24595.2329537484,25848.9348834678,27729.4877780468,0.272727272727273,1,0.579606280875823,0.0276623919120676,6,0,18,16,"semi",FALSE,""
"28",907,500,0,FALSE,44,28,-23920.9353562417,-23665.5078608919,-28829.2178880236,41,902,422,480,20.3307817021834,510.854990699561,0.159461296951354,10327.4200542635,82,820,0,0.950534113262037,0.556410212641193,0.994455845138754,0.994455845138754,0.915495776822647,0.996866692948048,0.996754641056832,0.996754641056832,0.0113385387615941,0,0.0192815532136409,1,48685.8707124833,53322.3901930028,-449.145009300439,1354.85499069956,50464.4353300175,49124.9812465864,52031.5627421667,53598.6901543159,54852.3920840353,56732.9449786143,0.363636363636364,1,0.913216021480661,0.0156948166409637,8,0,18,14,"semi",FALSE,""
"29",907,500,0.3,FALSE,22,29,-24766.6193439764,-23843.4273492852,-29022.1438178412,41,902,431,471,23.7135176531224,1846.38398938248,1.02349993795786e-161,10357.4329371121,82,820,0,0.82173343524469,0.471995668292986,0.748935439985856,0.748935439985856,0.689642074099035,0.860881675106549,0.855790966138217,0.855790966138217,0.0764216704680226,0.0727710136829759,0.0801067848161763,1.25455201782643e-14,50395.2386879528,55871.4739820705,904.383989382477,2708.38398938248,52211.7347783728,50843.71413866,53812.2843391223,55412.8338998719,56693.2735484715,58613.933021371,0.0454545454545455,0.833333333333333,-0.0256113789392533,0.0478802423751477,1,3,15,21,"semi",FALSE,""
"30",907,300,0.1,FALSE,39,30,-14371.6098470363,-14022.1923938907,-17474.1725266982,41,902,414,488,20.4577725907919,698.83490629106,1.07020700794324e-09,6903.96026561486,82,820,0,0.898777675507259,0.534882323960417,0.941769545937039,0.941769545937039,0.82991330720482,0.967138994388573,0.965345778557653,0.965345778557653,0.037949033470332,0.0314341987699578,0.0441240003862228,0.99954437773314,29571.2196940725,26583.2196940725,-277.16509370894,1526.83490629106,31104.5856385802,29791.6221935017,32642.0044741958,34179.4233098114,35409.3583783038,37254.2609810425,0.227272727272727,1,0.644402030057575,0.0253153464912682,5,0,18,17,"semi",FALSE,""
"31",907,400,0.1,FALSE,45,31,-19566.6583385535,-19059.8148057045,-22972.9648314354,41,902,429,473,22.4803319699841,1013.68706569796,1.7206559616975e-41,7826.30005146191,82,820,0,0.87047684614282,0.502116522226285,0.86621421855462,0.86621421855462,0.775456688873387,0.926470147836485,0.922828445580897,0.922828445580897,0.0534579652346531,0.0489223305003759,0.0579923181438131,0.103632022391062,39991.3166771069,27693.3166771069,67.687065697959,1871.68706569796,41703.6549678162,40342.4095299052,43296.7773844324,44889.8998010485,46164.3977343415,48076.1446342808,0.227272727272727,0.833333333333333,0.468928134977379,0.0327682245733725,5,3,15,17,"semi",FALSE,""
"32",907,200,0.2,FALSE,91,32,-9664.60439153205,-9252.56282481389,-11571.4699372248,41,902,413,489,21.2930841925373,824.083133436332,1.66383556611484e-19,4637.8142248219,82,820,0,0.822312172612309,0.490378844399292,0.852822043221574,0.852822043221574,0.702036772069721,0.919233999095075,0.912231681872377,0.912231681872377,0.0585338185013327,0.0515410824373477,0.0653957476039377,0.0231432356608957,20155.2087830641,18557.2461662417,-153.916866563668,1650.08313343633,21517.4138554484,20208.9871101571,23051.1191189973,24584.8243825462,25811.7885933853,27652.234909644,0.272727272727273,1,0.552674828818212,0.0308999912482945,6,0,18,16,"semi",FALSE,""
"33",907,400,0,FALSE,69,33,-19244.0219336197,-18957.2315606115,-23220.7713886307,41,902,414,488,20.8671499453155,573.580746016545,0.00446266072065997,8527.07965603843,82,820,0,0.932734210403398,0.555090603264461,0.981341348605874,0.981341348605874,0.886971419120464,0.989354409997385,0.988895826975203,0.988895826975203,0.0209386234732279,0.0123884243196058,0.0276702782312971,1,39316.0438672395,16408.0438672395,-402.419253983455,1401.58074601655,40968.5101897422,39654.8607461637,42505.9290253578,44043.3478609733,45273.2829294658,47118.1855322045,0.318181818181818,1,0.787967330305244,0.0177014002895434,7,0,18,15,"semi",FALSE,""
"34",907,500,0.1,FALSE,11,34,-24185.2692205526,-23686.6910863141,-28860.1571646555,41,902,412,490,21.3881171594273,997.156268477054,7.23239953919266e-37,10346.9321566827,82,820,0,0.903627833508793,0.539972729779645,0.910914607541408,0.910914607541408,0.838724129545327,0.94854826426565,0.946766045969866,0.946766045969866,0.0454975338410845,0.0414433726057187,0.0495404455070455,0.966802720715653,49194.5384411052,53106.1706250133,17.1562684770543,1821.15626847705,50930.9569776552,49623.2435123149,52460.9486691373,53990.9403606195,55214.9337138053,57050.9237435839,0.318181818181818,0.944444444444444,0.69099591508026,0.0248738656308127,7,1,17,15,"semi",FALSE,""
"35",907,200,0,FALSE,19,35,-9447.5523900271,-9169.57760969645,-11597.3227347176,41,902,434,468,19.1225641774879,555.949560661313,0.00313235479226979,4855.4902500423,82,820,0,0.885500838837753,0.505383405580571,0.961813894218342,0.961813894218342,0.799381811638798,0.979954471543164,0.978205978651444,0.978205978651444,0.0306534183794786,0.0187806267662035,0.0401812290589941,0.99984442730174,19763.1047800542,18156.3813757989,-380.050439338687,1423.94956066131,21194.5745171361,19819.6175983553,22806.2647940857,24417.9550710354,25707.3072925951,27641.3356249347,0.272727272727273,0.944444444444444,0.648986710951103,0.0304693742422223,6,1,17,16,"semi",FALSE,""
"36",907,500,0.1,FALSE,94,36,-24496.7181030642,-23813.4436857176,-29252.1828639293,41,902,413,489,22.6339126894738,1366.54883469333,5.22582960930379e-84,10877.4783564234,82,820,0,0.874368967704141,0.52142246976503,0.853685563023259,0.85368556302326,0.789330375291197,0.915526720604781,0.912746634534602,0.912746634534602,0.0599095717570389,0.0561607833585726,0.0636836114411246,9.21905818707103e-06,49819.4362061285,53795.7617875238,388.548834693334,2192.54883469333,51560.0693507769,50249.1818236275,53093.7746143257,54627.4798778746,55854.4440887137,57694.8904049724,0.227272727272727,1,0.822959560291207,0.0169875357493041,5,0,18,17,"semi",FALSE,""
